ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,INJURY,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158
Major Arterial,Toronto and East York,43.699595,-79.318797,At Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Passenger,20 to 39,Minor,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,60
Major Arterial,Toronto and East York,43.699595,-79.318797,At Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Passenger,0 to 19,Minor,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,60
Major Arterial,Toronto and East York,43.649345,-79.42079,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,81
Local,Etobicoke York,43.667245,-79.54469,Other,No Control,Clear,Dusk,Dry,Non-Fatal Injury,Passenger,0 to 19,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,10
Major Arterial,Toronto and East York,43.699595,-79.318797,At Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Passenger,20 to 39,Minor,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,60
Major Arterial,Toronto and East York,43.649345,-79.42079,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,20 to 39,Major,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,81
Major Arterial,Scarborough,43.744045,-79.28349,Other,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,119
Major Arterial,Toronto and East York,43.699595,-79.318797,At Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,60
Major Arterial,Etobicoke York,43.697045,-79.54669,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Driver,40 to 59,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,6
Major Arterial,Scarborough,43.744045,-79.28349,Other,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,119
Major Arterial,Scarborough,43.744045,-79.28349,Other,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,20 to 39,Major,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,119
Major Arterial,Toronto and East York,43.648545,-79.38089,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,20 to 39,Major,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,170
Major Arterial,Toronto and East York,43.648545,-79.38089,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,170
Major Arterial,Toronto and East York,43.648545,-79.38089,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,170
Major Arterial,Etobicoke York,43.691345,-79.46969,At Intersection,Stop Sign,Not Clear,Daylight,Wet,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,110
Major Arterial,Etobicoke York,43.691345,-79.46969,At Intersection,Stop Sign,Not Clear,Daylight,Wet,Non-Fatal Injury,Driver,40 to 59,Minimal,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,110
Major Arterial,Etobicoke York,43.691345,-79.46969,At Intersection,Stop Sign,Not Clear,Daylight,Wet,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,110
Major Arterial,Etobicoke York,43.691345,-79.46969,At Intersection,Stop Sign,Not Clear,Daylight,Wet,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,110
Major Arterial,Etobicoke York,43.691345,-79.46969,At Intersection,Stop Sign,Not Clear,Daylight,Wet,Non-Fatal Injury,Driver,20 to 39,Minimal,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,110
Minor Arterial,Etobicoke York,43.683745,-79.48249,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,111
Minor Arterial,Etobicoke York,43.683745,-79.48249,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 79,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,111
Minor Arterial,Etobicoke York,43.683745,-79.48249,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,60 to 79,Major,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,111
Major Arterial,Scarborough,43.744545,-79.29829,Other,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Other,unknown,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,119
Major Arterial,Scarborough,43.744545,-79.29829,Other,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,119
Major Arterial,Scarborough,43.744545,-79.29829,Other,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Passenger,0 to 19,Minor,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,119
Major Arterial,Scarborough,43.744545,-79.29829,Other,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,119
Major Arterial,Scarborough,43.744545,-79.29829,Other,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,119
Major Arterial,Scarborough,43.758145,-79.31389,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,40 to 59,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,119
Major Arterial,Scarborough,43.758145,-79.31389,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,Minor,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,119
Major Arterial,Scarborough,43.758145,-79.31389,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,119
Minor Arterial,North York,43.765245,-79.42519,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,38
Minor Arterial,North York,43.765245,-79.42519,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,38
Minor Arterial,North York,43.765245,-79.42519,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,0 to 19,Major,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,38
Major Arterial,North York,43.787345,-79.35299,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,47
Major Arterial,North York,43.787345,-79.35299,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,47
Major Arterial,North York,43.787345,-79.35299,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,47
Major Arterial,North York,43.787345,-79.35299,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 79,Major,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,47
Major Arterial,Etobicoke York,43.602045,-79.49909,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,unknown,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,18
Major Arterial,Etobicoke York,43.602045,-79.49909,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,unknown,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,18
Major Arterial,Scarborough,43.765445,-79.19949,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,0 to 19,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,136
Major Arterial,Scarborough,43.765445,-79.19949,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,136
Major Arterial,Scarborough,43.765445,-79.19949,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,136
Major Arterial,North York,43.764545,-79.31819,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,Major,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,150
Major Arterial,North York,43.764545,-79.31819,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,150
Major Arterial,North York,43.764545,-79.31819,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,150
Major Arterial,Toronto and East York,43.640945,-79.38069,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,165
Major Arterial,Toronto and East York,43.640945,-79.38069,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,165
Major Arterial,Toronto and East York,43.640945,-79.38069,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Passenger,20 to 39,Minor,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,165
Major Arterial,Toronto and East York,43.640945,-79.38069,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,165
Major Arterial,Toronto and East York,43.687645,-79.39389,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,98
Major Arterial,Toronto and East York,43.687645,-79.39389,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,98
Major Arterial,Toronto and East York,43.687645,-79.39389,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,60 to 79,Major,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,98
Major Arterial,Toronto and East York,43.639445,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,165
Major Arterial,Toronto and East York,43.639445,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 19,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,165
Major Arterial,Toronto and East York,43.639445,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,165
Major Arterial,Toronto and East York,43.639445,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 19,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,165
Major Arterial,Toronto and East York,43.639445,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,165
Major Arterial,Toronto and East York,43.639445,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,165
Major Arterial,Toronto and East York,43.636445,-79.39959,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,165
Major Arterial,Toronto and East York,43.636445,-79.39959,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Minor,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,165
Major Arterial,Toronto and East York,43.636445,-79.39959,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,165
Major Arterial,Toronto and East York,43.636445,-79.39959,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,165
Major Arterial,Toronto and East York,43.636445,-79.39959,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,165
Major Arterial,Etobicoke York,43.605445,-79.49109,Other,No Control,Not Clear,Daylight,Wet,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,160
Major Arterial,Etobicoke York,43.605445,-79.49109,Other,No Control,Not Clear,Daylight,Wet,Non-Fatal Injury,Driver,40 to 59,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,160
Major Arterial,Etobicoke York,43.605445,-79.49109,Other,No Control,Not Clear,Daylight,Wet,Non-Fatal Injury,Passenger,60 to 79,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,160
Major Arterial,Etobicoke York,43.605445,-79.49109,Other,No Control,Not Clear,Daylight,Wet,Non-Fatal Injury,Driver,60 to 79,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,160
Minor Arterial,Etobicoke York,43.744245,-79.59539,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,1
Minor Arterial,Etobicoke York,43.744245,-79.59539,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,1
Minor Arterial,Etobicoke York,43.744245,-79.59539,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 19,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,1
Minor Arterial,Etobicoke York,43.744245,-79.59539,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,1
Minor Arterial,Etobicoke York,43.744245,-79.59539,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,1
Minor Arterial,Toronto and East York,43.673845,-79.28189,Other,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Driver,over 79,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,63
Minor Arterial,Toronto and East York,43.673845,-79.28189,Other,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,over 79,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,63
Minor Arterial,Scarborough,43.807445,-79.17039,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,143
Minor Arterial,Scarborough,43.807445,-79.17039,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,20 to 39,Major,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,143
Local,Toronto and East York,43.686245,-79.43189,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,107
Local,Toronto and East York,43.686245,-79.43189,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,0 to 19,Major,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,107
Major Arterial,Etobicoke York,43.643045,-79.57379,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Passenger,20 to 39,Minimal,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,11
Major Arterial,Etobicoke York,43.643045,-79.57379,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,20 to 39,Major,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,11
Major Arterial,Scarborough,43.758945,-79.25709,At Intersection,Traffic Signal,Other,Daylight,Other,Non-Fatal Injury,Other,unknown,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,156
Major Arterial,Scarborough,43.758945,-79.25709,At Intersection,Traffic Signal,Other,Daylight,Other,Non-Fatal Injury,Pedestrian,40 to 59,Major,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,156
Minor Arterial,Toronto and East York,43.663145,-79.39269,Other,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,169
Minor Arterial,Toronto and East York,43.663145,-79.39269,Other,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,20 to 39,Major,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,169
Major Arterial,Toronto and East York,43.647845,-79.39599,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,164
Major Arterial,Toronto and East York,43.647845,-79.39599,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,164
Major Arterial,Toronto and East York,43.647845,-79.39599,Other,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,40 to 59,Major,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,164
Minor Arterial,Toronto and East York,43.649645,-79.43139,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,84
Minor Arterial,Toronto and East York,43.649645,-79.43139,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,84
Minor Arterial,Toronto and East York,43.649645,-79.43139,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist,20 to 39,Major,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,84
Major Arterial,Etobicoke York,43.642845,-79.57469,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,11
Major Arterial,Etobicoke York,43.642845,-79.57469,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,11
Major Arterial,Etobicoke York,43.642845,-79.57469,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,60 to 79,Major,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,11
Major Arterial,North York,43.702745,-79.41739,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,40 to 59,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,102
Major Arterial,North York,43.702745,-79.41739,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,102
Major Arterial,North York,43.702745,-79.41739,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,102
Major Arterial,North York,43.710745,-79.37709,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,0 to 19,Minimal,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,99
Major Arterial,North York,43.710745,-79.37709,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Vehicle Owner,unknown,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,99
Major Arterial,North York,43.710745,-79.37709,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,99
Major Arterial,North York,43.710745,-79.37709,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 79,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,99
Major Arterial,Toronto and East York,43.646445,-79.40379,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,Major,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,162
Major Arterial,Toronto and East York,43.646445,-79.40379,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,162
Major Arterial,North York,43.752445,-79.40809,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,40
Major Arterial,North York,43.752445,-79.40809,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,40
Major Arterial,North York,43.752445,-79.40809,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,40 to 59,Minimal,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,40
Major Arterial,North York,43.752445,-79.40809,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,40
Major Arterial,North York,43.752445,-79.40809,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Passenger,20 to 39,Major,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,40
Major Arterial,Toronto and East York,43.646145,-79.39179,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Driver,unknown,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,164
Major Arterial,North York,43.744145,-79.40669,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,40 to 59,Minor,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,40
Major Arterial,Etobicoke York,43.697045,-79.54669,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian,20 to 39,Fatal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,6
Major Arterial,North York,43.744145,-79.40669,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,20 to 39,Minor,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,40
Major Arterial,Toronto and East York,43.699595,-79.318797,At Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Driver,20 to 39,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,60
Major Arterial,Toronto and East York,43.646145,-79.39179,Other,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian,20 to 39,Major,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,164
Major Arterial,North York,43.744145,-79.40669,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Driver,over 79,Major,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,40
Major Arterial,Toronto and East York,43.684874,-79.316188,At Intersection,No Control,Not Clear,Dark,Wet,Non-Fatal Injury,Passenger,0 to 19,Minor,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,64
Major Arterial,Etobicoke York,43.721145,-79.57119,Other,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Driver,60 to 79,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,4
